instituicao,uf,populacao,conta,estagio,valor,ano
Prefeitura Municipal de Rio Branco - AC,AC,407319,01 - Legislativa,EMPENHADO,2.901405954E7,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,01.031 - Ação Legislativa,EMPENHADO,2.901405954E7,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,03 - Essencial à Justiça,EMPENHADO,1.882289507E7,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,03.092 - Representação Judicial e Extrajudicial,EMPENHADO,1.882289507E7,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,04 - Administração,EMPENHADO,8.225880045E7,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,04.121 - Planejamento e Orçamento,EMPENHADO,5105576.23,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,04.122 - Administração Geral,EMPENHADO,5.159206968E7,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,04.123 - Administração Financeira,EMPENHADO,1.893283478E7,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,04.124 - Controle Interno,EMPENHADO,10642.0,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,04.125 - Normatização e Fiscalização,EMPENHADO,821047.07,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,04.126 - Tecnologia da Informação,EMPENHADO,2696493.9,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,04.131 - Comunicação Social,EMPENHADO,3100136.79,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,06 - Segurança Pública,EMPENHADO,3304806.91,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,06.181 - Policiamento,EMPENHADO,2986384.34,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,06.182 - Defesa Civil,EMPENHADO,318422.57,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,08 - Assistência Social,EMPENHADO,2.2908E7,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,08.243 - Assistência à Criança e ao Adolescente,EMPENHADO,4740.54,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,08.244 - Assistência Comunitária,EMPENHADO,2.258485946E7,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,09 - Previdência Social,EMPENHADO,4.531730234E7,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,09.272 - Previdência do Regime Estatutário,EMPENHADO,4.531730234E7,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,10 - Saúde,EMPENHADO,1.4324366345E8,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,10.301 - Atenção Básica,EMPENHADO,1.1593805721E8,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,10.302 - Assistência Hospitalar e Ambulatorial,EMPENHADO,4170660.0,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,10.303 - Suporte Profilático e Terapêutico,EMPENHADO,5718290.92,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,10.305 - Vigilância Epidemiológica,EMPENHADO,1.048784575E7,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,10.122 - Administração Geral,EMPENHADO,6928809.57,2020
